id,spot_name,ymd,pm10,pm25,O3,NO2,CO,SO2,vol
1,종로구,2021-01-01 00:00,26.0,14.0,0.024,0.015,0.5,0.003,25.0
2,용산구,2021-01-01 00:00,36.0,11.0,0.017,0.017,0.4,0.003,162.0
3,중구,2021-01-01 00:00,29.0,16.0,0.018,0.021,0.5,0.003,116.0
4,은평구,2021-01-01 00:00,32.0,11.0,0.021,0.018,0.5,0.004,215.0
6,마포구,2021-01-01 00:00,23.0,12.0,0.011,0.029,0.5,0.003,30.0
7,도봉구,2021-01-01 00:00,15.0,12.0,0.027,0.011,0.3,0.002,16.0
8,노원구,2021-01-01 00:00,24.0,13.0,0.023,0.019,0.5,0.003,126.0
9,광진구,2021-01-01 00:00,27.0,13.0,0.018,0.015,0.5,0.0,16.0
11,중랑구,2021-01-01 00:00,21.0,11.0,0.02,0.022,0.5,0.004,56.0
12,동대문구,2021-01-01 00:00,19.0,12.0,0.025,0.016,0.4,0.004,17.0
13,성북구,2021-01-01 00:00,13.0,9.0,0.019,0.022,0.0,0.004,11.0
15,영등포구,2021-01-01 00:00,26.0,16.0,0.016,0.022,0.5,0.003,20.0
16,동작구,2021-01-01 00:00,33.0,18.0,0.018,0.022,0.4,0.003,48.0
17,관악구,2021-01-01 00:00,25.0,13.0,0.014,0.028,0.5,0.004,197.0
18,금천구,2021-01-01 00:00,31.0,19.0,0.015,0.026,0.5,0.003,0.0
19,강서구,2021-01-01 00:00,33.0,19.0,0.019,0.023,0.3,0.006,4.0
20,양천구,2021-01-01 00:00,35.0,19.0,0.012,0.03,0.5,0.004,43.0
21,구로구,2021-01-01 00:00,31.0,13.0,0.015,0.027,0.4,0.004,29.0
22,강남구,2021-01-01 00:00,22.0,15.0,0.023,0.016,0.4,0.004,53.0
23,서초구,2021-01-01 00:00,24.0,10.0,0.024,0.016,0.3,0.004,125.0
24,송파구,2021-01-01 00:00,23.0,15.0,0.025,0.02,0.4,0.004,0.0
25,강동구,2021-01-01 00:00,25.0,15.0,0.024,0.018,0.4,0.002,13.0
26,종로구,2021-01-01 04:00,23.0,13.0,0.011,0.027,0.6,0.003,18.0
27,용산구,2021-01-01 04:00,27.0,9.0,0.012,0.019,0.4,0.002,51.0
28,중구,2021-01-01 04:00,22.0,13.0,0.021,0.018,0.4,0.003,55.0
29,은평구,2021-01-01 04:00,17.0,12.0,0.012,0.024,0.6,0.004,92.0
31,마포구,2021-01-01 04:00,18.0,10.0,0.011,0.027,0.5,0.003,9.0
32,도봉구,2021-01-01 04:00,0.0,14.0,0.007,0.031,0.5,0.002,11.0
33,노원구,2021-01-01 04:00,26.0,18.0,0.009,0.031,0.7,0.004,58.0
34,광진구,2021-01-01 04:00,24.0,15.0,0.007,0.024,0.6,0.0,5.0
36,중랑구,2021-01-01 04:00,20.0,11.0,0.016,0.021,0.5,0.003,26.0
37,동대문구,2021-01-01 04:00,19.0,13.0,0.01,0.033,0.6,0.003,6.0
38,성북구,2021-01-01 04:00,18.0,12.0,0.006,0.035,0.0,0.003,55.0
40,영등포구,2021-01-01 04:00,18.0,10.0,0.016,0.02,0.5,0.003,0.0
41,동작구,2021-01-01 04:00,21.0,12.0,0.013,0.03,0.4,0.003,19.0
42,관악구,2021-01-01 04:00,19.0,9.0,0.017,0.026,0.5,0.004,61.0
43,금천구,2021-01-01 04:00,18.0,11.0,0.008,0.035,0.5,0.003,0.0
44,강서구,2021-01-01 04:00,23.0,14.0,0.011,0.03,0.3,0.004,18.0
45,양천구,2021-01-01 04:00,23.0,13.0,0.015,0.026,0.5,0.003,19.0
46,구로구,2021-01-01 04:00,20.0,6.0,0.014,0.03,0.4,0.004,4.0
47,강남구,2021-01-01 04:00,17.0,12.0,0.015,0.024,0.5,0.004,18.0
48,서초구,2021-01-01 04:00,12.0,12.0,0.022,0.018,0.3,0.004,22.0
49,송파구,2021-01-01 04:00,21.0,13.0,0.016,0.028,0.5,0.004,0.0
50,강동구,2021-01-01 04:00,28.0,18.0,0.01,0.03,0.5,0.002,6.0
51,종로구,2021-01-01 08:00,30.0,18.0,0.002,0.041,0.8,0.003,97.0
52,용산구,2021-01-01 08:00,28.0,14.0,0.002,0.032,0.5,0.003,326.0
53,중구,2021-01-01 08:00,33.0,19.0,0.002,0.042,0.6,0.003,167.0
54,은평구,2021-01-01 08:00,20.0,11.0,0.005,0.03,0.6,0.004,330.0
56,마포구,2021-01-01 08:00,21.0,13.0,0.002,0.042,0.6,0.003,88.0
57,도봉구,2021-01-01 08:00,18.0,13.0,0.008,0.028,0.5,0.002,45.0
58,노원구,2021-01-01 08:00,28.0,19.0,0.002,0.043,0.8,0.004,194.0
59,광진구,2021-01-01 08:00,25.0,18.0,0.001,0.035,1.0,0.0,49.0
61,중랑구,2021-01-01 08:00,27.0,16.0,0.002,0.041,0.7,0.003,100.0
62,동대문구,2021-01-01 08:00,23.0,19.0,0.002,0.045,0.8,0.004,56.0
63,성북구,2021-01-01 08:00,23.0,17.0,0.003,0.039,0.0,0.003,100.0
65,영등포구,2021-01-01 08:00,21.0,14.0,0.002,0.039,0.6,0.004,44.0
66,동작구,2021-01-01 08:00,22.0,13.0,0.002,0.042,0.5,0.003,76.0
67,관악구,2021-01-01 08:00,12.0,8.0,0.001,0.046,0.6,0.003,227.0
68,금천구,2021-01-01 08:00,24.0,16.0,0.011,0.029,0.5,0.003,0.0
69,강서구,2021-01-01 08:00,21.0,13.0,0.008,0.034,0.3,0.003,41.0
70,양천구,2021-01-01 08:00,25.0,15.0,0.006,0.037,0.5,0.003,65.0
71,구로구,2021-01-01 08:00,21.0,11.0,0.005,0.039,0.4,0.004,0.0
72,강남구,2021-01-01 08:00,19.0,14.0,0.003,0.036,0.6,0.004,108.0
73,서초구,2021-01-01 08:00,15.0,11.0,0.008,0.034,0.4,0.004,161.0
74,송파구,2021-01-01 08:00,0.0,7.0,0.002,0.038,0.6,0.003,0.0
75,강동구,2021-01-01 08:00,31.0,21.0,0.002,0.038,0.6,0.002,14.0
76,종로구,2021-01-01 12:00,42.0,26.0,0.016,0.029,0.7,0.002,89.0
77,용산구,2021-01-01 12:00,39.0,21.0,0.015,0.022,0.5,0.003,668.0
78,중구,2021-01-01 12:00,36.0,22.0,0.013,0.032,0.5,0.004,346.0
79,은평구,2021-01-01 12:00,18.0,14.0,0.024,0.021,0.5,0.004,662.0
81,마포구,2021-01-01 12:00,34.0,29.0,0.015,0.03,0.6,0.003,161.0
82,도봉구,2021-01-01 12:00,32.0,27.0,0.011,0.031,0.5,0.003,89.0
83,노원구,2021-01-01 12:00,32.0,26.0,0.017,0.027,0.6,0.003,484.0
84,광진구,2021-01-01 12:00,29.0,20.0,0.012,0.029,0.6,0.0,111.0
86,중랑구,2021-01-01 12:00,31.0,18.0,0.012,0.034,0.6,0.004,271.0
87,동대문구,2021-01-01 12:00,29.0,22.0,0.016,0.031,0.6,0.004,56.0
88,성북구,2021-01-01 12:00,32.0,22.0,0.01,0.038,0.0,0.004,95.0
90,영등포구,2021-01-01 12:00,27.0,16.0,0.015,0.029,0.6,0.004,158.0
91,동작구,2021-01-01 12:00,26.0,16.0,0.022,0.019,0.4,0.004,181.0
92,관악구,2021-01-01 12:00,18.0,11.0,0.019,0.025,0.5,0.004,427.0
93,금천구,2021-01-01 12:00,30.0,24.0,0.022,0.023,0.5,0.004,0.0
94,강서구,2021-01-01 12:00,25.0,14.0,0.017,0.031,0.3,0.004,37.0
95,양천구,2021-01-01 12:00,29.0,17.0,0.016,0.032,0.5,0.004,116.0
96,구로구,2021-01-01 12:00,23.0,14.0,0.021,0.025,0.4,0.004,62.0
97,강남구,2021-01-01 12:00,19.0,14.0,0.014,0.029,0.6,0.004,102.0
98,서초구,2021-01-01 12:00,20.0,13.0,0.021,0.022,0.3,0.004,430.0
99,송파구,2021-01-01 12:00,29.0,27.0,0.021,0.027,0.5,0.005,0.0
100,강동구,2021-01-01 12:00,26.0,18.0,0.021,0.021,0.4,0.003,18.0
101,종로구,2021-01-01 16:00,33.0,19.0,0.03,0.015,0.4,0.004,94.0
102,용산구,2021-01-01 16:00,33.0,15.0,0.017,0.022,0.4,0.003,670.0
103,중구,2021-01-01 16:00,29.0,18.0,0.027,0.018,0.4,0.003,361.0
104,은평구,2021-01-01 16:00,29.0,15.0,0.032,0.014,0.5,0.004,729.0
106,마포구,2021-01-01 16:00,19.0,15.0,0.022,0.025,0.4,0.004,206.0
107,도봉구,2021-01-01 16:00,18.0,15.0,0.029,0.013,0.3,0.002,106.0
108,노원구,2021-01-01 16:00,30.0,21.0,0.028,0.021,0.4,0.003,582.0
109,광진구,2021-01-01 16:00,24.0,16.0,0.015,0.024,0.5,0.0,147.0
111,중랑구,2021-01-01 16:00,24.0,12.0,0.02,0.026,0.5,0.004,338.0
112,동대문구,2021-01-01 16:00,23.0,17.0,0.026,0.018,0.4,0.003,51.0
113,성북구,2021-01-01 16:00,21.0,12.0,0.021,0.023,0.0,0.004,91.0
115,영등포구,2021-01-01 16:00,25.0,18.0,0.023,0.02,0.5,0.004,193.0
116,동작구,2021-01-01 16:00,28.0,20.0,0.026,0.022,0.4,0.003,184.0
117,관악구,2021-01-01 16:00,24.0,14.0,0.021,0.026,0.5,0.003,448.0
118,금천구,2021-01-01 16:00,28.0,17.0,0.027,0.019,0.4,0.004,0.0
119,강서구,2021-01-01 16:00,27.0,16.0,0.03,0.017,0.3,0.006,32.0
120,양천구,2021-01-01 16:00,32.0,19.0,0.023,0.024,0.5,0.005,159.0
121,구로구,2021-01-01 16:00,29.0,16.0,0.025,0.022,0.3,0.004,59.0
122,강남구,2021-01-01 16:00,18.0,16.0,0.023,0.021,0.4,0.004,96.0
123,서초구,2021-01-01 16:00,28.0,21.0,0.025,0.021,0.3,0.004,450.0
124,송파구,2021-01-01 16:00,25.0,13.0,0.023,0.033,0.5,0.006,0.0
125,강동구,2021-01-01 16:00,32.0,22.0,0.021,0.024,0.4,0.003,17.0
126,종로구,2021-01-01 20:00,27.0,17.0,0.019,0.024,0.5,0.003,96.0
127,용산구,2021-01-01 20:00,30.0,14.0,0.012,0.026,0.5,0.003,335.0
128,중구,2021-01-01 20:00,29.0,19.0,0.017,0.029,0.5,0.003,204.0
129,은평구,2021-01-01 20:00,27.0,20.0,0.015,0.029,0.7,0.004,510.0
131,마포구,2021-01-01 20:00,19.0,11.0,0.012,0.038,0.6,0.003,144.0
132,도봉구,2021-01-01 20:00,27.0,21.0,0.014,0.026,0.4,0.002,67.0
133,노원구,2021-01-01 20:00,30.0,21.0,0.015,0.032,0.5,0.003,324.0
134,광진구,2021-01-01 20:00,23.0,16.0,0.011,0.027,0.6,0.0,57.0
136,중랑구,2021-01-01 20:00,27.0,16.0,0.009,0.044,0.6,0.004,172.0
137,동대문구,2021-01-01 20:00,21.0,16.0,0.018,0.028,0.5,0.003,55.0
138,성북구,2021-01-01 20:00,28.0,16.0,0.012,0.029,0.0,0.003,84.0
140,영등포구,2021-01-01 20:00,24.0,18.0,0.005,0.043,0.7,0.003,56.0
141,동작구,2021-01-01 20:00,30.0,22.0,0.013,0.034,0.5,0.003,139.0
142,관악구,2021-01-01 20:00,35.0,23.0,0.006,0.046,0.8,0.004,349.0
143,금천구,2021-01-01 20:00,0.0,0.0,0.004,0.043,0.7,0.002,0.0
144,강서구,2021-01-01 20:00,30.0,20.0,0.009,0.039,0.4,0.007,36.0
145,양천구,2021-01-01 20:00,32.0,19.0,0.005,0.047,0.7,0.004,88.0
146,구로구,2021-01-01 20:00,27.0,19.0,0.011,0.038,0.5,0.004,65.0
147,강남구,2021-01-01 20:00,27.0,17.0,0.018,0.026,0.5,0.004,97.0
148,서초구,2021-01-01 20:00,25.0,22.0,0.01,0.039,0.5,0.004,254.0
149,송파구,2021-01-01 20:00,25.0,12.0,0.011,0.042,0.6,0.005,0.0
150,강동구,2021-01-01 20:00,28.0,19.0,0.011,0.037,0.6,0.003,14.0
151,종로구,2021-01-02 00:00,34.0,19.0,0.026,0.014,0.5,0.003,23.0
152,용산구,2021-01-02 00:00,35.0,13.0,0.02,0.014,0.4,0.004,98.0
153,중구,2021-01-02 00:00,34.0,20.0,0.023,0.017,0.5,0.004,63.0
154,은평구,2021-01-02 00:00,25.0,19.0,0.018,0.021,0.6,0.004,143.0
156,마포구,2021-01-02 00:00,25.0,16.0,0.015,0.025,0.5,0.003,34.0
157,도봉구,2021-01-02 00:00,23.0,16.0,0.029,0.009,0.3,0.003,13.0
158,노원구,2021-01-02 00:00,31.0,17.0,0.026,0.017,0.5,0.004,78.0
159,광진구,2021-01-02 00:00,28.0,17.0,0.018,0.016,0.6,0.0,14.0
161,중랑구,2021-01-02 00:00,31.0,15.0,0.021,0.021,0.5,0.004,36.0
162,동대문구,2021-01-02 00:00,27.0,17.0,0.024,0.017,0.5,0.004,11.0
163,성북구,2021-01-02 00:00,27.0,16.0,0.022,0.018,0.0,0.004,10.0
165,영등포구,2021-01-02 00:00,29.0,18.0,0.019,0.019,0.6,0.003,11.0
166,동작구,2021-01-02 00:00,34.0,20.0,0.021,0.022,0.4,0.004,17.0
167,관악구,2021-01-02 00:00,24.0,12.0,0.02,0.021,0.5,0.004,110.0
168,금천구,2021-01-02 00:00,32.0,17.0,0.019,0.025,0.5,0.003,0.0
169,강서구,2021-01-02 00:00,34.0,18.0,0.024,0.017,0.3,0.004,4.0
170,양천구,2021-01-02 00:00,34.0,20.0,0.019,0.022,0.5,0.004,24.0
171,구로구,2021-01-02 00:00,37.0,14.0,0.02,0.022,0.4,0.004,24.0
172,강남구,2021-01-02 00:00,34.0,21.0,0.024,0.016,0.5,0.004,40.0
173,서초구,2021-01-02 00:00,31.0,14.0,0.024,0.016,0.4,0.004,57.0
174,송파구,2021-01-02 00:00,29.0,16.0,0.021,0.027,0.5,0.005,0.0
175,강동구,2021-01-02 00:00,33.0,19.0,0.023,0.018,0.5,0.003,6.0
176,종로구,2021-01-02 04:00,24.0,13.0,0.027,0.014,0.4,0.002,15.0
177,용산구,2021-01-02 04:00,27.0,12.0,0.016,0.015,0.4,0.003,29.0
178,중구,2021-01-02 04:00,26.0,14.0,0.023,0.016,0.4,0.003,29.0
179,은평구,2021-01-02 04:00,26.0,9.0,0.031,0.009,0.5,0.004,34.0
181,마포구,2021-01-02 04:00,17.0,8.0,0.021,0.015,0.4,0.003,5.0
182,도봉구,2021-01-02 04:00,0.0,7.0,0.033,0.006,0.3,0.002,10.0
183,노원구,2021-01-02 04:00,20.0,10.0,0.031,0.01,0.4,0.003,34.0
184,광진구,2021-01-02 04:00,22.0,11.0,0.024,0.008,0.4,0.0,8.0
186,중랑구,2021-01-02 04:00,20.0,8.0,0.026,0.013,0.4,0.003,34.0
187,동대문구,2021-01-02 04:00,20.0,12.0,0.028,0.013,0.4,0.003,7.0
188,성북구,2021-01-02 04:00,13.0,7.0,0.025,0.015,0.0,0.003,66.0
190,영등포구,2021-01-02 04:00,18.0,9.0,0.025,0.011,0.4,0.003,7.0
191,동작구,2021-01-02 04:00,27.0,13.0,0.026,0.015,0.3,0.003,31.0
192,관악구,2021-01-02 04:00,17.0,7.0,0.022,0.017,0.4,0.003,70.0
193,금천구,2021-01-02 04:00,22.0,11.0,0.029,0.013,0.4,0.003,0.0
194,강서구,2021-01-02 04:00,21.0,9.0,0.028,0.013,0.2,0.003,21.0
195,양천구,2021-01-02 04:00,23.0,11.0,0.025,0.013,0.4,0.003,18.0
196,구로구,2021-01-02 04:00,21.0,4.0,0.029,0.013,0.3,0.004,4.0
197,강남구,2021-01-02 04:00,24.0,13.0,0.026,0.013,0.4,0.003,24.0
198,서초구,2021-01-02 04:00,25.0,6.0,0.026,0.014,0.3,0.004,13.0
199,송파구,2021-01-02 04:00,20.0,3.0,0.035,0.012,0.4,0.005,0.0
200,강동구,2021-01-02 04:00,26.0,14.0,0.028,0.012,0.4,0.003,2.0
201,종로구,2021-01-02 08:00,19.0,9.0,0.018,0.023,0.4,0.003,113.0
202,용산구,2021-01-02 08:00,20.0,5.0,0.012,0.021,0.4,0.003,556.0
203,중구,2021-01-02 08:00,19.0,7.0,0.024,0.016,0.4,0.003,243.0
204,은평구,2021-01-02 08:00,15.0,5.0,0.02,0.019,0.6,0.004,516.0
206,마포구,2021-01-02 08:00,14.0,6.0,0.01,0.031,0.5,0.002,128.0
207,도봉구,2021-01-02 08:00,15.0,8.0,0.021,0.019,0.4,0.002,97.0
208,노원구,2021-01-02 08:00,16.0,8.0,0.026,0.016,0.4,0.003,361.0
209,광진구,2021-01-02 08:00,17.0,9.0,0.018,0.013,0.4,0.0,87.0
211,중랑구,2021-01-02 08:00,18.0,9.0,0.019,0.017,0.4,0.003,247.0
212,동대문구,2021-01-02 08:00,16.0,10.0,0.015,0.027,0.4,0.003,76.0
213,성북구,2021-01-02 08:00,13.0,8.0,0.013,0.028,0.0,0.003,120.0
215,영등포구,2021-01-02 08:00,13.0,7.0,0.016,0.022,0.4,0.002,120.0
216,동작구,2021-01-02 08:00,20.0,9.0,0.016,0.026,0.4,0.002,142.0
217,관악구,2021-01-02 08:00,17.0,7.0,0.016,0.026,0.4,0.003,374.0
218,금천구,2021-01-02 08:00,17.0,7.0,0.02,0.022,0.4,0.003,0.0
219,강서구,2021-01-02 08:00,13.0,6.0,0.024,0.017,0.2,0.003,44.0
220,양천구,2021-01-02 08:00,16.0,8.0,0.017,0.024,0.4,0.003,129.0
221,구로구,2021-01-02 08:00,15.0,3.0,0.023,0.019,0.3,0.004,80.0
222,강남구,2021-01-02 08:00,23.0,11.0,0.021,0.018,0.4,0.004,116.0
223,서초구,2021-01-02 08:00,16.0,6.0,0.017,0.025,0.3,0.003,276.0
224,송파구,2021-01-02 08:00,17.0,9.0,0.023,0.021,0.4,0.004,0.0
225,강동구,2021-01-02 08:00,22.0,13.0,0.02,0.021,0.4,0.002,15.0
226,종로구,2021-01-02 12:00,22.0,12.0,0.027,0.015,0.4,0.003,112.0
227,용산구,2021-01-02 12:00,32.0,11.0,0.02,0.016,0.4,0.003,909.0
228,중구,2021-01-02 12:00,20.0,9.0,0.023,0.017,0.4,0.003,503.0
229,은평구,2021-01-02 12:00,15.0,6.0,0.031,0.011,0.5,0.004,800.0
231,마포구,2021-01-02 12:00,27.0,21.0,0.024,0.014,0.4,0.003,257.0
232,도봉구,2021-01-02 12:00,13.0,6.0,0.033,0.007,0.3,0.002,113.0
233,노원구,2021-01-02 12:00,18.0,12.0,0.03,0.012,0.4,0.003,613.0
234,광진구,2021-01-02 12:00,16.0,9.0,0.019,0.018,0.5,0.0,159.0
236,중랑구,2021-01-02 12:00,17.0,7.0,0.021,0.019,0.4,0.003,349.0
237,동대문구,2021-01-02 12:00,14.0,9.0,0.026,0.015,0.4,0.003,69.0
238,성북구,2021-01-02 12:00,12.0,2.0,0.024,0.016,0.0,0.003,106.0
240,영등포구,2021-01-02 12:00,18.0,8.0,0.023,0.015,0.5,0.003,229.0
241,동작구,2021-01-02 12:00,22.0,11.0,0.025,0.016,0.4,0.003,244.0
242,관악구,2021-01-02 12:00,16.0,7.0,0.023,0.017,0.4,0.004,606.0
243,금천구,2021-01-02 12:00,21.0,14.0,0.025,0.019,0.5,0.003,0.0
244,강서구,2021-01-02 12:00,22.0,8.0,0.03,0.012,0.2,0.003,39.0
245,양천구,2021-01-02 12:00,23.0,9.0,0.025,0.015,0.4,0.004,208.0
246,구로구,2021-01-02 12:00,23.0,5.0,0.026,0.016,0.3,0.004,73.0
247,강남구,2021-01-02 12:00,14.0,5.0,0.025,0.016,0.4,0.004,113.0
248,서초구,2021-01-02 12:00,16.0,6.0,0.024,0.017,0.3,0.004,638.0
249,송파구,2021-01-02 12:00,24.0,14.0,0.026,0.023,0.5,0.004,0.0
250,강동구,2021-01-02 12:00,21.0,10.0,0.023,0.019,0.4,0.003,12.0
251,종로구,2021-01-02 16:00,44.0,16.0,0.035,0.009,0.4,0.004,112.0
252,용산구,2021-01-02 16:00,54.0,11.0,0.026,0.01,0.4,0.003,840.0
253,중구,2021-01-02 16:00,45.0,14.0,0.034,0.008,0.4,0.003,438.0
254,은평구,2021-01-02 16:00,36.0,17.0,0.035,0.01,0.5,0.004,767.0
256,마포구,2021-01-02 16:00,35.0,11.0,0.027,0.014,0.4,0.003,266.0
257,도봉구,2021-01-02 16:00,29.0,15.0,0.036,0.005,0.2,0.002,169.0
258,노원구,2021-01-02 16:00,45.0,19.0,0.035,0.009,0.4,0.004,636.0
259,광진구,2021-01-02 16:00,39.0,14.0,0.025,0.009,0.4,0.0,189.0
261,중랑구,2021-01-02 16:00,38.0,10.0,0.028,0.013,0.4,0.003,435.0
262,동대문구,2021-01-02 16:00,35.0,13.0,0.033,0.011,0.4,0.003,66.0
263,성북구,2021-01-02 16:00,38.0,10.0,0.028,0.013,0.0,0.003,106.0
265,영등포구,2021-01-02 16:00,36.0,13.0,0.026,0.015,0.5,0.004,231.0
266,동작구,2021-01-02 16:00,46.0,15.0,0.03,0.013,0.4,0.003,197.0
267,관악구,2021-01-02 16:00,37.0,12.0,0.026,0.016,0.5,0.004,548.0
268,금천구,2021-01-02 16:00,40.0,14.0,0.03,0.015,0.5,0.004,0.0
269,강서구,2021-01-02 16:00,41.0,14.0,0.034,0.01,0.2,0.005,35.0
270,양천구,2021-01-02 16:00,46.0,16.0,0.027,0.014,0.4,0.004,218.0
271,구로구,2021-01-02 16:00,44.0,7.0,0.031,0.013,0.3,0.004,74.0
272,강남구,2021-01-02 16:00,37.0,13.0,0.031,0.011,0.4,0.003,107.0
273,서초구,2021-01-02 16:00,50.0,13.0,0.033,0.009,0.3,0.004,630.0
274,송파구,2021-01-02 16:00,45.0,15.0,0.033,0.019,0.4,0.005,0.0
275,강동구,2021-01-02 16:00,49.0,16.0,0.031,0.011,0.4,0.003,39.0
276,종로구,2021-01-02 20:00,48.0,15.0,0.025,0.016,0.5,0.002,106.0
277,용산구,2021-01-02 20:00,60.0,13.0,0.018,0.018,0.4,0.003,443.0
278,중구,2021-01-02 20:00,49.0,17.0,0.022,0.021,0.4,0.003,238.0
279,은평구,2021-01-02 20:00,43.0,15.0,0.024,0.017,0.5,0.004,470.0
281,마포구,2021-01-02 20:00,34.0,8.0,0.018,0.024,0.5,0.003,176.0
282,도봉구,2021-01-02 20:00,41.0,13.0,0.033,0.006,0.2,0.002,89.0
283,노원구,2021-01-02 20:00,52.0,13.0,0.028,0.016,0.4,0.003,380.0
284,광진구,2021-01-02 20:00,39.0,17.0,0.018,0.017,0.5,0.0,78.0
286,중랑구,2021-01-02 20:00,44.0,13.0,0.018,0.025,0.5,0.003,197.0
287,동대문구,2021-01-02 20:00,38.0,16.0,0.024,0.019,0.4,0.003,67.0
288,성북구,2021-01-02 20:00,45.0,12.0,0.021,0.02,0.0,0.003,106.0
290,영등포구,2021-01-02 20:00,36.0,14.0,0.02,0.022,0.5,0.003,81.0
291,동작구,2021-01-02 20:00,46.0,17.0,0.022,0.022,0.4,0.003,125.0
292,관악구,2021-01-02 20:00,37.0,12.0,0.02,0.025,0.5,0.003,379.0
293,금천구,2021-01-02 20:00,50.0,21.0,0.019,0.027,0.5,0.004,0.0
294,강서구,2021-01-02 20:00,49.0,17.0,0.02,0.024,0.3,0.006,41.0
295,양천구,2021-01-02 20:00,44.0,15.0,0.017,0.028,0.5,0.004,97.0
296,구로구,2021-01-02 20:00,45.0,10.0,0.025,0.02,0.3,0.004,77.0
297,강남구,2021-01-02 20:00,29.0,12.0,0.025,0.017,0.4,0.003,104.0
298,서초구,2021-01-02 20:00,47.0,10.0,0.027,0.016,0.3,0.003,329.0
299,송파구,2021-01-02 20:00,39.0,9.0,0.025,0.025,0.5,0.004,0.0
300,강동구,2021-01-02 20:00,51.0,18.0,0.021,0.022,0.4,0.003,48.0
301,종로구,2021-01-03 00:00,65.0,13.0,0.031,0.009,0.4,0.003,26.0
302,용산구,2021-01-03 00:00,76.0,10.0,0.021,0.011,0.3,0.003,123.0
303,중구,2021-01-03 00:00,66.0,15.0,0.026,0.012,0.4,0.003,78.0
304,은평구,2021-01-03 00:00,56.0,11.0,0.026,0.013,0.5,0.004,151.0
306,마포구,2021-01-03 00:00,45.0,9.0,0.019,0.017,0.4,0.003,23.0
307,도봉구,2021-01-03 00:00,60.0,13.0,0.033,0.005,0.2,0.002,11.0
308,노원구,2021-01-03 00:00,66.0,12.0,0.031,0.01,0.3,0.003,82.0
309,광진구,2021-01-03 00:00,50.0,13.0,0.023,0.009,0.4,0.0,7.0
311,중랑구,2021-01-03 00:00,52.0,11.0,0.023,0.017,0.4,0.003,41.0
312,동대문구,2021-01-03 00:00,46.0,13.0,0.029,0.011,0.4,0.003,12.0
313,성북구,2021-01-03 00:00,63.0,12.0,0.028,0.01,0.0,0.003,12.0
315,영등포구,2021-01-03 00:00,44.0,14.0,0.023,0.013,0.4,0.003,5.0
316,동작구,2021-01-03 00:00,60.0,16.0,0.024,0.015,0.3,0.003,25.0
317,관악구,2021-01-03 00:00,49.0,14.0,0.022,0.016,0.4,0.003,150.0
318,금천구,2021-01-03 00:00,54.0,16.0,0.022,0.018,0.4,0.003,0.0
319,강서구,2021-01-03 00:00,60.0,16.0,0.026,0.013,0.2,0.003,3.0
320,양천구,2021-01-03 00:00,59.0,17.0,0.022,0.015,0.4,0.003,31.0
321,구로구,2021-01-03 00:00,59.0,10.0,0.024,0.016,0.3,0.003,28.0
322,강남구,2021-01-03 00:00,56.0,17.0,0.027,0.011,0.4,0.003,44.0
323,서초구,2021-01-03 00:00,59.0,13.0,0.027,0.011,0.3,0.003,70.0
324,송파구,2021-01-03 00:00,50.0,9.0,0.032,0.013,0.4,0.004,0.0
325,강동구,2021-01-03 00:00,62.0,15.0,0.029,0.011,0.3,0.002,4.0
326,종로구,2021-01-03 04:00,46.0,13.0,0.027,0.01,0.4,0.003,17.0
327,용산구,2021-01-03 04:00,58.0,10.0,0.022,0.009,0.3,0.003,35.0
328,중구,2021-01-03 04:00,46.0,12.0,0.026,0.011,0.4,0.003,23.0
329,은평구,2021-01-03 04:00,40.0,12.0,0.028,0.011,0.6,0.004,91.0
331,마포구,2021-01-03 04:00,33.0,8.0,0.021,0.014,0.4,0.002,7.0
332,도봉구,2021-01-03 04:00,33.0,11.0,0.029,0.007,0.3,0.002,13.0
333,노원구,2021-01-03 04:00,43.0,12.0,0.016,0.024,0.6,0.004,37.0
334,광진구,2021-01-03 04:00,38.0,12.0,0.02,0.009,0.5,0.0,6.0
336,중랑구,2021-01-03 04:00,39.0,10.0,0.019,0.019,0.4,0.003,32.0
337,동대문구,2021-01-03 04:00,34.0,13.0,0.027,0.011,0.4,0.003,6.0
338,성북구,2021-01-03 04:00,35.0,10.0,0.024,0.012,0.0,0.004,57.0
340,영등포구,2021-01-03 04:00,36.0,10.0,0.024,0.01,0.4,0.002,8.0
341,동작구,2021-01-03 04:00,46.0,13.0,0.023,0.014,0.3,0.003,11.0
342,관악구,2021-01-03 04:00,33.0,6.0,0.021,0.016,0.4,0.003,54.0
343,금천구,2021-01-03 04:00,46.0,13.0,0.026,0.013,0.4,0.003,0.0
344,강서구,2021-01-03 04:00,47.0,12.0,0.026,0.011,0.2,0.003,18.0
345,양천구,2021-01-03 04:00,46.0,12.0,0.02,0.018,0.4,0.003,18.0
346,구로구,2021-01-03 04:00,50.0,10.0,0.025,0.014,0.3,0.004,3.0
347,강남구,2021-01-03 04:00,42.0,14.0,0.026,0.009,0.4,0.003,21.0
348,서초구,2021-01-03 04:00,39.0,10.0,0.028,0.008,0.2,0.004,17.0
349,송파구,2021-01-03 04:00,35.0,7.0,0.03,0.012,0.4,0.004,0.0
350,강동구,2021-01-03 04:00,45.0,15.0,0.025,0.012,0.4,0.002,0.0
351,종로구,2021-01-03 08:00,47.0,13.0,0.017,0.021,0.5,0.003,100.0
